"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 12 17:17:25 WAT 2023","Sat Aug 12 17:17:26 WAT 2023","1049","Marketing","SMS Campaigns","","","","Get an SMS campaign",""
"passed","Sat Aug 12 17:17:14 WAT 2023","Sat Aug 12 17:17:15 WAT 2023","1368","Sales CRM","Notes","","","","Update a note",""
"passed","Sat Aug 12 17:17:44 WAT 2023","Sat Aug 12 17:17:44 WAT 2023","430","Contact management","Contacts","","","","Delete a contact",""
"passed","Sat Aug 12 17:17:46 WAT 2023","Sat Aug 12 17:17:46 WAT 2023","416","Transactional","Email API","","","","Get the list of transactional emails on the basis of allowed filters",""
"passed","Sat Aug 12 17:17:03 WAT 2023","Sat Aug 12 17:17:04 WAT 2023","574","Sales CRM","Companies","","","","Get pipeline stages",""
"passed","Sat Aug 12 17:17:40 WAT 2023","Sat Aug 12 17:17:41 WAT 2023","747","Contact management","Lists","","","","Get a list's details",""
"passed","Sat Aug 12 17:17:49 WAT 2023","Sat Aug 12 17:17:49 WAT 2023","499","Transactional","Statistics","","","","Get all your transactional email activity (unaggregated events)",""
"passed","Sat Aug 12 17:17:34 WAT 2023","Sat Aug 12 17:17:34 WAT 2023","382","Contact management","Folders","","","","Returns a folder's details",""
"passed","Sat Aug 12 17:17:28 WAT 2023","Sat Aug 12 17:17:29 WAT 2023","380","Conversations","Status","","","","Sets agent’s status to online for 2-3 minutes",""
"passed","Sat Aug 12 17:17:05 WAT 2023","Sat Aug 12 17:17:05 WAT 2023","514","Sales CRM","Deals","","","","Get all deals",""
"passed","Sat Aug 12 17:17:50 WAT 2023","Sat Aug 12 17:17:51 WAT 2023","340","Transactional","Blocked Domains","","","","Add a new domain to the list of blocked domains",""
"passed","Sat Aug 12 17:17:05 WAT 2023","Sat Aug 12 17:17:07 WAT 2023","1588","Sales CRM","Deals","","","","Get deal attributes",""
"passed","Sat Aug 12 17:17:04 WAT 2023","Sat Aug 12 17:17:05 WAT 2023","593","Sales CRM","Deals","","","","Create a deal",""
"passed","Sat Aug 12 17:17:57 WAT 2023","Sat Aug 12 17:17:58 WAT 2023","524","Account","Senders","","","","Delete a sender",""
"passed","Sat Aug 12 17:17:22 WAT 2023","Sat Aug 12 17:17:24 WAT 2023","1949","Marketing","Email Campaigns","","","","Return all your created email campaigns",""
"passed","Sat Aug 12 17:17:26 WAT 2023","Sat Aug 12 17:17:26 WAT 2023","590","Conversations","Messages","","","","Send a message as an agent",""
